occupations,pred_female,pred_male,female,male,binary,scale_score,pred_scale_score,pred_binary
skipsmegler,25.27,74.73,12.7,"87,3",0,-74.6,-49.46,0
skogbruksleder,20.56,79.44,7.4,"92,6",0,-85.2,-58.88,0
skogsoperatør,21.77,78.23,3.3,"96,7",0,-93.4,-56.46,0
skoleassistent,25.92,74.08,71.7,"28,3",1,43.400000000000006,-48.16,0
skolefritidsleder,26.17,73.83,80.1,"19,9",1,60.19999999999999,-47.66,0
skuespiller,25.16,74.84,49.6,"50,4",0,-0.7999999999999972,-49.68,0
slakter,18.11,81.89,18.4,"81,6",0,-63.2,-63.78,0
smed,26.38,73.62,19.1,"80,9",0,-61.8,-47.24,0
sminkør,27.54,72.46,88.9,"11,1",1,77.80000000000001,-44.92,0
snekker,20.89,79.11,2.4,"97,6",0,-95.2,-58.22,0
sølvsmed,29.58,70.42,51.7,"48,3",1,3.4000000000000057,-40.84,0
sosiolog,33.65,66.35,56.7,"43,3",1,13.400000000000006,-32.7,0
sosionom,29.87,70.13,76.7,"23,3",1,53.400000000000006,-40.26,0
speditør,20.54,79.46,27.3,"72,7",0,-45.4,-58.92,0
spesialpedagog,25.42,74.58,92.6,"7,4",1,85.19999999999999,-49.16,0
spesialsykepleier innen psykisk helse,24.13,75.87,77.6,"22,4",1,55.19999999999999,-51.74,0
spillprogrammerer,27.72,72.28,10.3,"89,7",0,-79.4,-44.56,0
sportsdommer,27.6,72.4,32.2,"67,8",0,-35.599999999999994,-44.8,0
statistiker,26.41,73.59,41.8,"58,2",0,-16.400000000000006,-47.18,0
steinfagarbeider,20.17,79.83,5.5,"94,5",0,-89.0,-59.66,0
stillasbygger,24.89,75.11,0.5,"99,5",0,-99.0,-50.22,0
stipendiat,22.72,77.28,52.8,"47,2",1,5.599999999999994,-54.56,0
støper,32.08,67.92,4.1,"95,9",0,-91.8,-35.84,0
strikkehåndverker,43.96,56.04,100,0,1,100.0,-12.079999999999998,0
studiekonsulent,22.55,77.45,72.1,"27,9",1,44.19999999999999,-54.9,0
styrmann,26.35,73.65,3.2,"96,8",0,-93.6,-47.3,0
supportkonsulent,23.69,76.31,25,75,0,-50.0,-52.62,0
sveiser,22.7,77.3,2.7,"97,3",0,-94.6,-54.6,0
sykepleier,18.08,81.92,90,10,1,80.0,-63.84,0
systemadministrator,17.48,82.52,21.3,"78,7",0,-57.4,-65.03999999999999,0
systemanalytiker,21.93,78.07,29.4,"70,6",0,-41.2,-56.14,0
systemutvikler,17.82,82.18,14,86,0,-72.0,-64.36,0
takstmann,23.53,76.47,3.8,"96,2",0,-92.4,-52.94,0
taktekker,24.0,76.0,0.6,"99,4",0,-98.8,-52.0,0
tannhelsesekretær,12.94,87.06,98.6,"1,4",1,97.19999999999999,-74.12,0
tannlege,16.74,83.26,59.7,"40,3",1,19.400000000000006,-66.52000000000001,0
tannpleier,19.53,80.47,97.5,"2,5",1,95.0,-60.94,0
tanntekniker,15.11,84.89,54,46,1,8.0,-69.78,0
tavlemontør,17.76,82.24,7.3,"92,7",0,-85.4,-64.47999999999999,0
taxisjåfør,21.94,78.06,10.5,"89,5",0,-79.0,-56.12,0
teknisk tegner,21.03,78.97,38.5,"61,5",0,-23.0,-57.94,0
tekstforfatter,27.49,72.51,53.2,"46,8",1,6.400000000000006,-45.02,0
tekstilrenser,30.87,69.13,65.3,"34,7",1,30.599999999999994,-38.26,0
telefonselger,20.73,79.27,39.8,"60,2",0,-20.400000000000006,-58.54,0
telekommunikasjonsmontør,22.24,77.76,5,95,0,-90.0,-55.52,0
tilkomsttekniker,25.76,74.24,5,95,0,-90.0,-48.48,0
tolk,20.28,79.72,58.3,"41,7",1,16.599999999999994,-59.44,0
toller,22.27,77.73,47.5,"52,5",0,-5.0,-55.46,0
tømrer,19.33,80.67,1,99,0,-98.0,-61.34,0
trafikkbetjent,17.39,82.61,22.3,"77,7",0,-55.4,-65.22,0
trafikklærer,13.17,86.83,23.6,"76,4",0,-52.8,-73.66,0
trevaresnekker,24.53,75.47,2,98,0,-96.0,-50.94,0
trikkefører,23.69,76.31,22.2,"77,8",0,-55.6,-52.62,0
turistvert,25.35,74.65,54.9,"45,1",1,9.799999999999997,-49.3,0
tv-fotograf,26.98,73.02,29.4,"70,6",0,-41.2,-46.04,0
undervisningsinspektør,21.69,78.31,61.8,"38,2",1,23.599999999999994,-56.62,0
urmaker,22.29,77.71,15.6,"84,4",0,-68.8,-55.42,0
utstillingsdesigner,26.77,73.23,82.9,"17,1",1,65.80000000000001,-46.46,0
vaskerioperatør,26.65,73.35,60.4,"39,6",1,20.799999999999997,-46.7,0
vei- og anleggsarbeider,21.99,78.01,5,95,0,-90.0,-56.02,0
vekter,17.89,82.11,23.8,"76,2",0,-52.4,-64.22,0
verktøymaker,28.22,71.78,1.1,"98,9",0,-97.8,-43.56,0
vernepleier,23.94,76.06,76.3,"23,7",1,52.599999999999994,-52.12,0
veterinær,17.12,82.88,76.6,"23,4",1,53.19999999999999,-65.75999999999999,0
vikler,25.95,74.05,15.1,"84,9",0,-69.8,-48.1,0
webdesigner,19.98,80.02,37.8,"62,2",0,-24.400000000000006,-60.04,0
yrkessjåfør,19.36,80.64,4.4,"95,6",0,-91.2,-61.28,0
